Name,Country,Province,Population,Longitude,Latitude
Aachen,D,Nordrhein Westfalen,247113.0,,
Aalborg,DK,Denmark,113865.0,10.0,57.0
Aarau,CH,AG,,,
Aarhus,DK,Denmark,194345.0,10.1,56.1
Aarri,WAN,Nigeria,111000.0,,
Aba,WAN,Nigeria,264000.0,,
Abaetetuba,BR,Para,106753.0,,
Abakan,R,Rep. of Khakassiya,161000.0,,
Abancay,PE,Apurimac,,,
Abeokuta,WAN,Nigeria,377000.0,,
Aberdeen,GB,Grampian,219100.0,,
Aberystwyth,GB,Ceredigion,,,
Abidjan,CI,Cote dIvoire,,-4.0,5.3
Abilene,USA,Texas,106707.0,-99.6833,32.4167
Abu Dhabi,UAE,Abu Dhabi,363432.0,54.36,24.27
Abuja,WAN,Nigeria,182418.0,7.5,9.05
Acapulco,MEX,Guerrero,515374.0,,
Acarigua,YV,Portuguesa,116551.0,,
Accra,GH,Ghana,867459.0,-0.2,5.55
Acheng,TJ,Heilongjiang,197595.0,,
Achinsk,R,Krasnoyarskiy kray,123000.0,,
ad Damir,SUD,ash Shamaliyah,,,
Adamstown,PITC,Pitcairn Islands,,-130.05,-25.04
Adana,TR,Adana,1047300.0,35.3,36.9833
Adapazari,TR,Kocaeli,186000.0,,
Addis Ababa,ETH,Ethiopia,2316400.0,38.75,9.0
Adelaide,AUS,South Australia,1050000.0,138.583,-34.9333
Aden,YE,Yemen,550744.0,45.0,12.8
Adiyaman,TR,Adiyaman,128000.0,,
Ado Ekiti,WAN,Nigeria,317000.0,,
Afyon,TR,Afyon,,,
Agadir,MA,Morocco,550200.0,,
Agana,GUAM,Guam,,144.44,13.28
Agartala,IND,Tripura,,91.2,23.5
Agra,IND,Uttar Pradesh,891790.0,,
Agri,TR,Agri,,,
Aguascalientes,MEX,Aguascalientes,440425.0,-102.2,21.5
Ahmadabad,IND,Gujarat,2954526.0,,
Ahvaz,IR,Khuzestan,828380.0,48.4,31.2
Aijal,IND,Mizoram,,92.4,23.4
Aix en Provence,F,Provence Cote dAzur,123842.0,,
Ajaccio,F,Corse,53500.0,8.4,41.4
Ajmer,IND,Rajasthan,402700.0,,
Akita,J,Akita,,,
Akron,USA,Ohio,223019.0,,
Aksaray,TR,Aksaray,,,
