Island,Country,Province
Great Britain,GB,Aberconwy and Colwyn
Honshu,J,Aichi
Honshu,J,Akita
Aland,SF,Aland
Tutuila,AMSA,American Samoa
South Andaman Island,IND,Andaman and Nicobar Is.
Anglesey,GB,Anglesey
Anguilla,AXA,Anguilla
Madagaskar,RM,Antananarivo
Antigua,AG,Antigua and Barbuda
Barbuda,AG,Antigua and Barbuda
Madagaskar,RM,Antsiranana
Honshu,J,Aomori
Aruba,ARU,Aruba
Great Britain,GB,Avon
Corvo,P,Azores
Faial,P,Azores
Flores,P,Azores
Graciosa,P,Azores
Pico,P,Azores
Santa Maria,P,Azores
Sao Jorge,P,Azores
Sao Miguel,P,Azores
Terceira,P,Azores
New Providence,BS,Bahamas
Bahrain,BRN,Bahrain
Formentera,E,Balearic Islands
Ibiza,E,Balearic Islands
Mallorca,E,Balearic Islands
Menorca,E,Balearic Islands
Barbados,BDS,Barbados
Great Britain,GB,Bedfordshire
Great Britain,GB,Berkshire
Grand Bermuda,BERM,Bermuda
Great Britain,GB,Blaenau Gwent
Great Britain,GB,Borders
Great Britain,GB,Bridgend
Vancouver Island,CDN,British Columbia
Tortola,BVIR,British Virgin Islands
Borneo,BRU,Brunei
Great Britain,GB,Buckinghamshire
Great Britain,GB,Caerphilly
Alicudi,I,Calabria
Filicudi,I,Calabria
Lipari,I,Calabria
Panarea,I,Calabria
Salina,I,Calabria
Stromboli,I,Calabria
Vulcano,I,Calabria
San Clemente Island,USA,California
San Miguel Island,USA,California
Santa Catalina Island,USA,California
Santa Cruz Island,USA,California
Santa Rosa Island,USA,California
Great Britain,GB,Cambridgeshire
Fuerteventura,E,Canary Islands
Gomera,E,Canary Islands
Gran Canaria,E,Canary Islands
Hierro,E,Canary Islands
La Palma,E,Canary Islands
Lanzarote,E,Canary Islands
Teneriffa,E,Canary Islands
Fogo,CV,Cape Verde
Santiago,CV,Cape Verde
Great Britain,GB,Cardiff
Great Britain,GB,Carmarthenshire
Cayman Brac,CAYM,Cayman Islands
Grand Cayman,CAYM,Cayman Islands
Little Cayman,CAYM,Cayman Islands
Great Britain,GB,Central
Great Britain,GB,Ceredigion
Great Britain,GB,Cheshire
Honshu,J,Chiba
Osterinsel,RCH,Chile
Christmas Island,XMAS,Christmas Island
Cuba,C,Ciego de Avila
Cuba,C,Cienfuegos
Cuba,C,Ciudad de la Habana
Great Britain,GB,Cleveland
Pulau Panjang,COCO,Cocos Islands
Anjouan,COM,Comoros
Grand Comoro,COM,Comoros
Mohilla,COM,Comoros
Rarotonga,COOK,Cook Islands
Bishop Rock,GB,Cornwall
Great Britain,GB,Cornwall
Corse,F,Corse
Great Britain,GB,Cumbria
Cyprus,CY,Cyprus
Great Britain,GB,Denbighshire
Bornholm,DK,Denmark
Falster,DK,Denmark
Fuenen,DK,Denmark
Langeland,DK,Denmark
Lolland,DK,Denmark
Seeland,DK,Denmark
Great Britain,GB,Derbyshire
