Node,Degree Centrality,Closeness Centrality,Betweenness Centrality
EMP004,0.000821,0.00013,0
EMP489,0.003,0.00013,0.001
EMP011,0.000253,0.000128,0
EMP171,0.005,0.000128,0.000732
EMP013,6.32E-05,0.000126,0
EMP510,6.32E-05,0.000126,0
EMP014,0.002,0.000136,0
EMP544,0.017,0.000135,0.007
EMP023,6.32E-05,0.000126,0
EMP265,0.000253,0.000126,0
EMP026,0,0.000126,0
EMP038,6.32E-05,0.000126,0
EMP145,6.32E-05,0.000126,0
EMP041,0.000126,0.000126,0
EMP362,0.000126,0.000126,0
EMP053,0.00019,0.000126,0
EMP099,0.00019,0.000126,0
EMP056,0,0.000126,0
EMP070,0,0.000126,0
EMP084,0.002,0.000136,0
EMP536,0.006,0.000135,0.005
EMP088,0.00019,0.000126,0
EMP093,0.001,0.000127,0
EMP127,0.002,0.000127,0
EMP463,0.001,0.000127,0
EMP103,0.000568,0.000129,0.000366
EMP583,0.000253,0.000126,0
EMP115,0.000379,0.000131,0
EMP200,0.003,0.00013,0
EMP505,0.003,0.00013,0.000293
EMP117,0.000126,0.000126,0
EMP120,0.000442,0.000131,0.001
EMP293,0.003,0.00013,0.002
EMP121,0.000126,0.000135,0
EMP321,0.002,0.000135,0.002
EMP132,0.00019,0.000136,0
EMP135,0,0.000126,0
EMP136,0,0.000126,0
EMP137,6.32E-05,0.000129,0
EMP208,0.000253,0.000128,9.76E-05
EMP140,6.32E-05,0.000136,0
EMP142,0,0.000126,0
EMP148,0.00019,0.000136,0
EMP423,0.002,0.000135,0.001
EMP150,6.32E-05,0.000127,0
EMP550,0.000442,0.000126,4.88E-05
EMP151,0,0.000126,0
EMP157,0.000253,0.000127,0
EMP351,0.000253,0.000126,0
EMP431,0.000126,0.000126,0
EMP158,0.000126,0.000126,0
EMP160,0.000316,0.000131,0
EMP307,0.001,0.000127,0.00078
EMP168,0.003,0.000126,0.000122
EMP204,0.000253,0.000126,0
EMP169,0.000126,0.000126,0
EMP369,0.000126,0.000126,0
EMP170,0.000379,0.000135,0
EMP472,0.000316,0.000126,0
EMP548,0.004,0.000128,0.000293
EMP173,0,0.000126,0
EMP176,0.000126,0.000132,0
EMP266,0.000568,0.000132,0.000195
EMP178,0.000695,0.000127,0
EMP253,0.000821,0.000127,2.44E-05
EMP179,0.00019,0.000136,0
EMP242,0.000568,0.000136,0.000366
EMP182,0.000126,0.000131,0
EMP183,6.32E-05,0.000131,0
EMP193,6.32E-05,0.000126,0
EMP196,0,0.000126,0
EMP201,0.000126,0.000126,0
EMP358,0.000379,0.000126,0
EMP529,0.002,0.000128,0.000146
EMP209,0,0.000126,0
EMP210,0.000126,0.000126,0
EMP493,0.000442,0.000126,0
EMP217,0.000253,0.00013,0
EMP218,0.000379,0.000126,0
EMP286,0.001,0.000126,0
EMP219,0.00019,0.000136,0
EMP226,6.32E-05,0.000126,0
EMP228,0.000758,0.000135,0
EMP231,0.00019,0.000126,0
EMP191,0.000632,0.000126,0
EMP236,0.002,0.000135,0.002
EMP492,0.000316,0.000128,0.000512
EMP590,0.000253,0.000126,0
EMP237,0.00019,0.000126,0
EMP378,0.000505,0.000126,0
EMP239,0.000821,0.000126,2.44E-05
EMP409,0.001,0.000126,0
EMP246,0,0.000126,0
EMP247,0.00019,0.000126,0
EMP479,0.00019,0.000126,0
EMP248,0.00019,0.00013,0
EMP249,0.000379,0.000136,0
EMP180,0.000126,0.000126,0
EMP329,0.000126,0.000126,0
EMP268,6.32E-05,0.000127,0
EMP271,0.000442,0.000126,0
EMP551,0.000505,0.000126,0
EMP273,6.32E-05,0.000126,0
EMP340,6.32E-05,0.000126,0
EMP274,0.000505,0.000128,0
EMP331,0.000253,0.000126,0
EMP533,0.000253,0.000126,0
EMP279,0.002,0.000135,0
EMP280,0.000316,0.000126,0
EMP464,0.000505,0.000126,0.000415
EMP281,6.32E-05,0.000136,0
EMP287,6.32E-05,0.000127,0
EMP563,0.000379,0.000126,7.32E-05
EMP288,0.00019,0.000126,0
EMP298,0.00019,0.000126,0
EMP292,0.000884,0.000132,0
